example_id,format,correct,error,input_token_count,question_category,question_difficulty,source_dataset,query,gold_label,prediction,failure_flip_example
115,html,1,,1482,Multi-Item Lookup,Easy,sqa,what are all of the dates?,"['3 Nov 2002', '10 Aug 2003', '25 Apr 2004', '26 Jun 2004', '23 Apr 2006', '22 Apr 2007', '11 Nov 2007', '2 Dec 2007', '26 Sep 2010', '1 May 2011', '15 Apr 2012', '29 Jul 2012', '30 Jun 2013']","3 Nov 2002, 10 Aug 2003, 25 Apr 2004, 26 Jun",0
115,latex,1,,864,Multi-Item Lookup,Easy,sqa,what are all of the dates?,"['3 Nov 2002', '10 Aug 2003', '25 Apr 2004', '26 Jun 2004', '23 Apr 2006', '22 Apr 2007', '11 Nov 2007', '2 Dec 2007', '26 Sep 2010', '1 May 2011', '15 Apr 2012', '29 Jul 2012', '30 Jun 2013']","3 Nov 2002, 10 Aug 2003, 25 Apr 2004, 26 Jun",0
115,markdown,1,,910,Multi-Item Lookup,Easy,sqa,what are all of the dates?,"['3 Nov 2002', '10 Aug 2003', '25 Apr 2004', '26 Jun 2004', '23 Apr 2006', '22 Apr 2007', '11 Nov 2007', '2 Dec 2007', '26 Sep 2010', '1 May 2011', '15 Apr 2012', '29 Jul 2012', '30 Jun 2013']","3 Nov 2002, 10 Aug 2003, 25 Apr 2004, 26 Jun",0
116,html,1,,809,Multi-Item Lookup,Easy,sqa,what binaries are over 0011 0111?,"['0011 1000', '0011 1001']","0011 1000
0011 1001",0
116,latex,1,,414,Multi-Item Lookup,Easy,sqa,what binaries are over 0011 0111?,"['0011 1000', '0011 1001']","0011 1000
0011 1001",0
116,markdown,1,,362,Multi-Item Lookup,Easy,sqa,what binaries are over 0011 0111?,"['0011 1000', '0011 1001']","0011 1000
0011 1001",0
117,html,1,,701,Multi-Item Lookup,Easy,sqa,and what was the position he reached in those competitions?,"['2nd', '8th', '3rd', '1st', '4th', '4th', '4th', '8th']","2nd, 8th, 3rd, 1st, 4th, 4th, 4th, 8th",0
117,latex,1,,371,Multi-Item Lookup,Easy,sqa,and what was the position he reached in those competitions?,"['2nd', '8th', '3rd', '1st', '4th', '4th', '4th', '8th']","2nd, 8th, 3rd, 1st, 4th, 4th, 4th, 8th",0
117,markdown,1,,330,Multi-Item Lookup,Easy,sqa,and what was the position he reached in those competitions?,"['2nd', '8th', '3rd', '1st', '4th', '4th', '4th', '8th']","3rd, 4th, 4th, 4th, 8th",0
118,html,1,,1142,Multi-Item Lookup,Easy,sqa,what clients drilled?,"['Agoco', 'Lasmo', 'Waha', 'IPC-Dublin', 'OMV', 'Fina', 'Marathon', 'Khalda/Repsol', 'Total', 'Agiba-Agip', 'IPLL', 'SOC', 'Veba', 'Perenco Oil Co.', 'Zueitina']","Agoco, Lasmo, Waha, IPC-Dublin, OMV, Fina, Marathon, Khalda/Repsol, Total, Agiba",0
118,latex,1,,474,Multi-Item Lookup,Easy,sqa,what clients drilled?,"['Agoco', 'Lasmo', 'Waha', 'IPC-Dublin', 'OMV', 'Fina', 'Marathon', 'Khalda/Repsol', 'Total', 'Agiba-Agip', 'IPLL', 'SOC', 'Veba', 'Perenco Oil Co.', 'Zueitina']","Agoco, Lasmo, Waha, IPC-Dublin, OMV, Fina, Marathon, Khalda/Repsol, Total, Agiba",0
118,markdown,1,,488,Multi-Item Lookup,Easy,sqa,what clients drilled?,"['Agoco', 'Lasmo', 'Waha', 'IPC-Dublin', 'OMV', 'Fina', 'Marathon', 'Khalda/Repsol', 'Total', 'Agiba-Agip', 'IPLL', 'SOC', 'Veba', 'Perenco Oil Co.', 'Zueitina']","Agoco, Lasmo, Waha, IPC-Dublin, OMV, Fina, Marathon, Khalda/Repsol, Total, Agiba",0
119,html,1,,1980,Multi-Item Lookup,Easy,sqa,what are all of the dates?,"['November 10', 'November 17', 'November 23', 'December 1', 'December 14', 'December 15', 'December 22', 'January 4', 'January 5', 'January 12', 'January 19', 'January 26', 'February 1', 'February 7', 'February 8', 'February 15']","November 10, November 17, November 23, December 1, December 14, December 15, December 2",0
119,latex,1,,850,Multi-Item Lookup,Easy,sqa,what are all of the dates?,"['November 10', 'November 17', 'November 23', 'December 1', 'December 14', 'December 15', 'December 22', 'January 4', 'January 5', 'January 12', 'January 19', 'January 26', 'February 1', 'February 7', 'February 8', 'February 15']","November 10, November 17, November 23, December 1, December 14, December 15, December 2",0
119,markdown,1,,941,Multi-Item Lookup,Easy,sqa,what are all of the dates?,"['November 10', 'November 17', 'November 23', 'December 1', 'December 14', 'December 15', 'December 22', 'January 4', 'January 5', 'January 12', 'January 19', 'January 26', 'February 1', 'February 7', 'February 8', 'February 15']","November 10, November 17, November 23, December 1, December 14, December 15, December 2",0
120,html,1,,600,Multi-Item Lookup,Easy,sqa,what are the al-khwarizmi craters?,"['B', 'G', 'H', 'J', 'K', 'L', 'M', 'T']","B, G, H, J, K, L, M, T",0
120,latex,1,,342,Multi-Item Lookup,Easy,sqa,what are the al-khwarizmi craters?,"['B', 'G', 'H', 'J', 'K', 'L', 'M', 'T']","B, G, H, J, K, L, M, T",0
120,markdown,1,,309,Multi-Item Lookup,Easy,sqa,what are the al-khwarizmi craters?,"['B', 'G', 'H', 'J', 'K', 'L', 'M', 'T']","B, G, H, J, K, L, M, T",0
121,html,1,,1992,Multi-Item Lookup,Easy,sqa,what were the dates for the 2013-14 toros mexico season?,"['November 10', 'November 17', 'November 23', 'December 1', 'December 14', 'December 15', 'December 22', 'January 4', 'January 5', 'January 12', 'January 19', 'January 26', 'February 1', 'February 7', 'February 8', 'February 15']","November 10, November 17, November 23, December 1, December 14, December 15, December 2",0
121,latex,1,,862,Multi-Item Lookup,Easy,sqa,what were the dates for the 2013-14 toros mexico season?,"['November 10', 'November 17', 'November 23', 'December 1', 'December 14', 'December 15', 'December 22', 'January 4', 'January 5', 'January 12', 'January 19', 'January 26', 'February 1', 'February 7', 'February 8', 'February 15']","November 10, November 17, November 23, December 1, December 14, December 15, December 2",0
121,markdown,1,,953,Multi-Item Lookup,Easy,sqa,what were the dates for the 2013-14 toros mexico season?,"['November 10', 'November 17', 'November 23', 'December 1', 'December 14', 'December 15', 'December 22', 'January 4', 'January 5', 'January 12', 'January 19', 'January 26', 'February 1', 'February 7', 'February 8', 'February 15']","November 10, November 17, November 23, December 1, December 14, December 15, December 2",0
122,html,1,,2647,Multi-Item Lookup,Easy,sqa,what recorded top speeds have been recorded by all of those?,"['202.6 km/h (126 mph)', '200.4 km/h (125 mph)', '185.07 km/h (115 mph)', '182.4 km/h (113 mph)', '181.1 km/h (113 mph)', '180.3 km/h (112 mph)', '168.5 km/h (105 mph)', '166.6 km/h (104 mph)', '164 km/h (102 mph)', '161 km/h (100 mph)', '145 km/h (90 mph)', '131.6 km/h (82 mph)', '131 km/h (81 mph)', '125.6 km/h (78 mph)', '96.6 km/h (60 mph)', '48 km/h (30 mph)', '24 km/h (15 mph)', '8 km/h (5 mph)']","202.6 km/h (126 mph), 200.4 km/h (125 mph), 18",0
122,latex,1,,1535,Multi-Item Lookup,Easy,sqa,what recorded top speeds have been recorded by all of those?,"['202.6 km/h (126 mph)', '200.4 km/h (125 mph)', '185.07 km/h (115 mph)', '182.4 km/h (113 mph)', '181.1 km/h (113 mph)', '180.3 km/h (112 mph)', '168.5 km/h (105 mph)', '166.6 km/h (104 mph)', '164 km/h (102 mph)', '161 km/h (100 mph)', '145 km/h (90 mph)', '131.6 km/h (82 mph)', '131 km/h (81 mph)', '125.6 km/h (78 mph)', '96.6 km/h (60 mph)', '48 km/h (30 mph)', '24 km/h (15 mph)', '8 km/h (5 mph)']","202.6 km/h (126 mph), 200.4 km/h (125 mph), 18",0
122,markdown,1,,1772,Multi-Item Lookup,Easy,sqa,what recorded top speeds have been recorded by all of those?,"['202.6 km/h (126 mph)', '200.4 km/h (125 mph)', '185.07 km/h (115 mph)', '182.4 km/h (113 mph)', '181.1 km/h (113 mph)', '180.3 km/h (112 mph)', '168.5 km/h (105 mph)', '166.6 km/h (104 mph)', '164 km/h (102 mph)', '161 km/h (100 mph)', '145 km/h (90 mph)', '131.6 km/h (82 mph)', '131 km/h (81 mph)', '125.6 km/h (78 mph)', '96.6 km/h (60 mph)', '48 km/h (30 mph)', '24 km/h (15 mph)', '8 km/h (5 mph)']","202.6 km/h (126 mph), 200.4 km/h (125 mph), 18",0
123,html,1,,916,Multi-Item Lookup,Easy,sqa,what are all of the ship names?,"['Argus', 'James Carruthers', 'Hydrus', 'Leafield', 'John A. McGean', 'Plymouth', 'Charles S. Price', 'Regina', 'Issac M. Scott', 'Henry B. Smith', 'Wexford', 'Lightship No. 82']","Argus, James Carruthers, Hydrus, Leofield, John A. McGean, Plymouth, Charles S. Price, Regina, Issac M",0
123,latex,1,,403,Multi-Item Lookup,Easy,sqa,what are all of the ship names?,"['Argus', 'James Carruthers', 'Hydrus', 'Leafield', 'John A. McGean', 'Plymouth', 'Charles S. Price', 'Regina', 'Issac M. Scott', 'Henry B. Smith', 'Wexford', 'Lightship No. 82']","Argus, James Carruthers, Hydrus, Leafield, John A. McGean, Plymouth, Charles S. Price, Regina, Issac",0
123,markdown,1,,396,Multi-Item Lookup,Easy,sqa,what are all of the ship names?,"['Argus', 'James Carruthers', 'Hydrus', 'Leafield', 'John A. McGean', 'Plymouth', 'Charles S. Price', 'Regina', 'Issac M. Scott', 'Henry B. Smith', 'Wexford', 'Lightship No. 82']","Argus, James Carruthers, Hydrus, Leefield, John A. McGean, Plymouth, Charles S. Price, Regina, Issac",0
124,html,1,,964,Multi-Item Lookup,Easy,sqa,when did the events take place?,"['1999', '2001', '2002', '2003', '2005', '2005', '2006', '2006', '2007', '2008', '2010', '2012']","1999, 2001, 2002, 2003, 2005, 20",0
124,latex,1,,464,Multi-Item Lookup,Easy,sqa,when did the events take place?,"['1999', '2001', '2002', '2003', '2005', '2005', '2006', '2006', '2007', '2008', '2010', '2012']","1999, 2001, 2002, 2003, 2005, 20",0
124,markdown,1,,465,Multi-Item Lookup,Easy,sqa,when did the events take place?,"['1999', '2001', '2002', '2003', '2005', '2005', '2006', '2006', '2007', '2008', '2010', '2012']","1999, 2001, 2002, 2003, 2005, 20",0
125,html,1,,1206,Multi-Item Lookup,Easy,sqa,what are all of the album titles?,"['single only', 'Language of Love', 'singles only', 'singles only', 'Twelve Sides', 'singles only', 'singles only', 'singles only', 'singles only', 'A Bizarre Collection of the Most Unusual Songs', 'single only', 'Suburban Attitudes in Country Verse', 'single only', 'The Open Mind of John D. Loudermilk', 'Volume 1-Elloree', 'Just Passing Through']","single only
Language of Love
singles only
singles only
Twelve Sides
singles only
singles only
singles only
singles",0
125,latex,1,,512,Multi-Item Lookup,Easy,sqa,what are all of the album titles?,"['single only', 'Language of Love', 'singles only', 'singles only', 'Twelve Sides', 'singles only', 'singles only', 'singles only', 'singles only', 'A Bizarre Collection of the Most Unusual Songs', 'single only', 'Suburban Attitudes in Country Verse', 'single only', 'The Open Mind of John D. Loudermilk', 'Volume 1-Elloree', 'Just Passing Through']","single only, Language of Love, singles only, singles only, Twelve Sides, singles only, singles only, singles only, singles only, A Bizarre Collection",0
125,markdown,1,,557,Multi-Item Lookup,Easy,sqa,what are all of the album titles?,"['single only', 'Language of Love', 'singles only', 'singles only', 'Twelve Sides', 'singles only', 'singles only', 'singles only', 'singles only', 'A Bizarre Collection of the Most Unusual Songs', 'single only', 'Suburban Attitudes in Country Verse', 'single only', 'The Open Mind of John D. Loudermilk', 'Volume 1-Elloree', 'Just Passing Through']","single only, Language of Love, singles only, singles only, Twelve Sides, singles only, singles only, singles only, A Bizarre Collection of the Most",0
126,html,1,,1928,Multi-Item Lookup,Easy,wikitq,which conferences have had less than 2 bids.,"['Colonial', 'Western Athletic']","Colonial, Western Athletic",0
126,latex,1,,710,Multi-Item Lookup,Easy,wikitq,which conferences have had less than 2 bids.,"['Colonial', 'Western Athletic']","Colonial, Western Athletic",0
126,markdown,1,,798,Multi-Item Lookup,Easy,wikitq,which conferences have had less than 2 bids.,"['Colonial', 'Western Athletic']","Colonial, Western Athletic",0
127,html,1,,713,Multi-Item Lookup,Easy,sqa,what are all of the leagues?,"['A-League', 'Australian Football League', 'Big Bash League', 'National Basketball League', 'National Rugby League', 'Super Rugby', 'Rugby Championship', 'State of Origin series', ""Women's National Basketball League""]","A-League, Australian Football League, Big Bash League, National Basketball League, National Rugby League, Super Rugby, Rugby Championship, State of Origin series, Women",0
127,latex,1,,419,Multi-Item Lookup,Easy,sqa,what are all of the leagues?,"['A-League', 'Australian Football League', 'Big Bash League', 'National Basketball League', 'National Rugby League', 'Super Rugby', 'Rugby Championship', 'State of Origin series', ""Women's National Basketball League""]","A-League, Australian Football League, Big Bash League, National Basketball League, National Rugby League, Super Rugby, Rugby Championship, State of Origin series, Women",0
127,markdown,1,,388,Multi-Item Lookup,Easy,sqa,what are all of the leagues?,"['A-League', 'Australian Football League', 'Big Bash League', 'National Basketball League', 'National Rugby League', 'Super Rugby', 'Rugby Championship', 'State of Origin series', ""Women's National Basketball League""]","A-League, Australian Football League, Big Bash League, National Basketball League, National Rugby League, Super Rugby, Rugby Championship, State of Origin series, Women",0
128,html,1,,876,Multi-Item Lookup,Easy,sqa,who are all the golfers?,"['Tiger Woods', 'Geoff Ogilvy', 'Darren Clarke', 'Ernie Els', 'Hunter Mahan', 'Phil Mickelson', 'Ian Poulter']","Tiger Woods, Geoff Ogilvy, Darren Clarke, Ernie Els, Hunter Mahan, Phil Mickelson, Ian Poulter",0
128,latex,1,,482,Multi-Item Lookup,Easy,sqa,who are all the golfers?,"['Tiger Woods', 'Geoff Ogilvy', 'Darren Clarke', 'Ernie Els', 'Hunter Mahan', 'Phil Mickelson', 'Ian Poulter']","Tiger Woods, Geoff Ogilvy, Darren Clarke, Ernie Els, Hunter Mahan, Phil Mickelson, Ian Poulter",0
128,markdown,1,,478,Multi-Item Lookup,Easy,sqa,who are all the golfers?,"['Tiger Woods', 'Geoff Ogilvy', 'Darren Clarke', 'Ernie Els', 'Hunter Mahan', 'Phil Mickelson', 'Ian Poulter']","Tiger Woods, Geoff Ogilvy, Darren Clarke, Ernie Els, Hunter Mahan, Phil Mickelson, Ian Poulter",0
129,html,1,,1029,Multi-Item Lookup,Easy,sqa,who are all of the players?,"['Adam Kszczot', 'Jeff Lastennet', 'Gareth Warburton', 'Mario Scapini', 'Anis Ananenka', 'Oleh Kayafa', 'Joni Jaako', 'Robin Schembera', 'Ivan Tukhtachev', 'Antonio Manuel Reina', 'Antonio Rodrigues', 'Milan Kocourek']","Adam Kszczot, Jeff Lastennet, Gareth Warburton, Mario Scapini, Anis Ananenka, Oleh Kayafa, Joni Jaako",0
129,latex,1,,437,Multi-Item Lookup,Easy,sqa,who are all of the players?,"['Adam Kszczot', 'Jeff Lastennet', 'Gareth Warburton', 'Mario Scapini', 'Anis Ananenka', 'Oleh Kayafa', 'Joni Jaako', 'Robin Schembera', 'Ivan Tukhtachev', 'Antonio Manuel Reina', 'Antonio Rodrigues', 'Milan Kocourek']","Adam Kszczot, Jeff Lastennet, Gareth Warburton, Mario Scapini, Anis Ananenka, Oleh Kayafa, Joni Jaako",0
129,markdown,1,,429,Multi-Item Lookup,Easy,sqa,who are all of the players?,"['Adam Kszczot', 'Jeff Lastennet', 'Gareth Warburton', 'Mario Scapini', 'Anis Ananenka', 'Oleh Kayafa', 'Joni Jaako', 'Robin Schembera', 'Ivan Tukhtachev', 'Antonio Manuel Reina', 'Antonio Rodrigues', 'Milan Kocourek']","Adam Kszczot, Jeff Lastennet, Gareth Warburton, Mario Scapini, Anis Ananenka, Oleh Kayafa, Joni Jaako",0
130,html,1,,878,Multi-Item Lookup,Easy,wikitq,which countries have more wins than england?,"['Australia', 'United States']","United States, Australia, Northern Ireland, South Africa",0
130,latex,1,,490,Multi-Item Lookup,Easy,wikitq,which countries have more wins than england?,"['Australia', 'United States']","United States, Australia, Northern Ireland, South Africa",0
130,markdown,1,,480,Multi-Item Lookup,Easy,wikitq,which countries have more wins than england?,"['Australia', 'United States']","United States, Australia, South Africa",0
131,html,1,,1650,Multi-Item Lookup,Easy,sqa,who are all of the squash players?,"['Jansher Khan', 'Jahangir Khan', 'Geoff Hunt', 'Amr Shabana', 'Nick Matthew', 'Ramy Ashour', 'David Palmer', 'Peter Nicol', 'Rodney Eyles', 'Thierry Lincou', 'Ross Norman', 'Rodney Martin', 'Jonathon Power', 'Chris Dittmar', 'Gregory Gaultier', 'Qamar Zaman', 'Ahmed Barada', 'Lee Beachill', 'Karim Darwish', 'Mohamed El Shorbagy', 'Del Harris', 'Mohibullah Khan', 'Peter Marshall', 'John White', 'Dean Williams', 'James Willstrop']","Jansher Khan, Jahangir Khan, Geoff Hunt, Amr Shabana, Nick Matthew, Ramy Ashour, David Palmer, Peter Nicol, Rodney",0
131,latex,1,,582,Multi-Item Lookup,Easy,sqa,who are all of the squash players?,"['Jansher Khan', 'Jahangir Khan', 'Geoff Hunt', 'Amr Shabana', 'Nick Matthew', 'Ramy Ashour', 'David Palmer', 'Peter Nicol', 'Rodney Eyles', 'Thierry Lincou', 'Ross Norman', 'Rodney Martin', 'Jonathon Power', 'Chris Dittmar', 'Gregory Gaultier', 'Qamar Zaman', 'Ahmed Barada', 'Lee Beachill', 'Karim Darwish', 'Mohamed El Shorbagy', 'Del Harris', 'Mohibullah Khan', 'Peter Marshall', 'John White', 'Dean Williams', 'James Willstrop']","Jansher Khan, Jahangir Khan, Geoff Hunt, Amr Shabana, Nick Matthew, Ramy Ashour, David Palmer, Peter Nicol, Rodney",0
131,markdown,1,,588,Multi-Item Lookup,Easy,sqa,who are all of the squash players?,"['Jansher Khan', 'Jahangir Khan', 'Geoff Hunt', 'Amr Shabana', 'Nick Matthew', 'Ramy Ashour', 'David Palmer', 'Peter Nicol', 'Rodney Eyles', 'Thierry Lincou', 'Ross Norman', 'Rodney Martin', 'Jonathon Power', 'Chris Dittmar', 'Gregory Gaultier', 'Qamar Zaman', 'Ahmed Barada', 'Lee Beachill', 'Karim Darwish', 'Mohamed El Shorbagy', 'Del Harris', 'Mohibullah Khan', 'Peter Marshall', 'John White', 'Dean Williams', 'James Willstrop']","Jansher Khan, Jahangir Khan, Geoff Hunt, Amr Shabana, Nick Matthew, Ramy Ashour, David Palmer, Peter Nicol, Rodney",0
132,html,1,,810,Multi-Item Lookup,Easy,sqa,who have scored goals for the us men's national soccer team?,"['Landon Donovan', 'Clint Dempsey', 'Eric Wynalda', 'Brian McBride', 'Joe-Max Moore', 'Jozy Altidore', 'Bruce Murray', 'Eddie Johnson', 'Earnie Stewart', 'DaMarcus Beasley']","Landon Donovan, Clint Dempsey, Eric Wynalda, Brian McBride, Joe-Max Moore, Jozy Altidore, Bruce Murray, Eddie Johnson, Earn",0
132,latex,1,,404,Multi-Item Lookup,Easy,sqa,who have scored goals for the us men's national soccer team?,"['Landon Donovan', 'Clint Dempsey', 'Eric Wynalda', 'Brian McBride', 'Joe-Max Moore', 'Jozy Altidore', 'Bruce Murray', 'Eddie Johnson', 'Earnie Stewart', 'DaMarcus Beasley']","Landon Donovan, Clint Dempsey, Eric Wynalda, Brian McBride, Joe-Max Moore, Jozy Altidore, Bruce Murray, Eddie Johnson, Earn",0
132,markdown,1,,377,Multi-Item Lookup,Easy,sqa,who have scored goals for the us men's national soccer team?,"['Landon Donovan', 'Clint Dempsey', 'Eric Wynalda', 'Brian McBride', 'Joe-Max Moore', 'Jozy Altidore', 'Bruce Murray', 'Eddie Johnson', 'Earnie Stewart', 'DaMarcus Beasley']","Landon Donovan, Clint Dempsey, Eric Wynalda, Brian McBride, Joe-Max Moore, Jozy Altidore, Bruce Murray, Eddie Johnson, Earn",0
133,html,1,,1426,Multi-Item Lookup,Easy,sqa,what are all of the massifs?,"['Chornohora', 'Uholka / Wide Meadow', 'Svydovets', 'Maramoros', 'Kuziy / Trybushany', 'Stuzhytsia / Uzhok', 'Stuzica / Bukovske vrchy', 'Rozok', 'Vihorlat', 'Havesova', 'Jasmund', 'Serrahn', 'Grumsiner Forest', 'Hainich', 'Kellerwald']","Chornohora, Uholka / Wide Meadow, Svydovets, Maramoros, Kuziy / Trybushany, Stuzhyts",0
133,latex,1,,670,Multi-Item Lookup,Easy,sqa,what are all of the massifs?,"['Chornohora', 'Uholka / Wide Meadow', 'Svydovets', 'Maramoros', 'Kuziy / Trybushany', 'Stuzhytsia / Uzhok', 'Stuzica / Bukovske vrchy', 'Rozok', 'Vihorlat', 'Havesova', 'Jasmund', 'Serrahn', 'Grumsiner Forest', 'Hainich', 'Kellerwald']","Chornohora, Uholka / Wide Meadow, Svydovets, Maramoros, Kuziy / Trybushany, Stuzhyts",0
133,markdown,1,,708,Multi-Item Lookup,Easy,sqa,what are all of the massifs?,"['Chornohora', 'Uholka / Wide Meadow', 'Svydovets', 'Maramoros', 'Kuziy / Trybushany', 'Stuzhytsia / Uzhok', 'Stuzica / Bukovske vrchy', 'Rozok', 'Vihorlat', 'Havesova', 'Jasmund', 'Serrahn', 'Grumsiner Forest', 'Hainich', 'Kellerwald']","Chornohora, Uholka / Wide Meadow, Svydovets, Maramoros, Kuziy / Trybushany, Stuzhyts",0
134,html,1,,3299,Multi-Item Lookup,Easy,sqa,what are all of the route names?,"['Alewife Brook Parkway', 'American Legion Highway', 'Amvets Memorial Highway (Fall River Expressway)', 'Boston Post Road', 'Henry E. Bodurtha Highway', 'Boston-Worcester Turnpike', 'Central Artery (John F. Fitzgerald Expressway)', 'Commonwealth Avenue', 'East Boston Expressway', 'Grand Army of the Republic Highway', 'Horseneck Beach Connector', 'Loop Connector', 'Lydia Taft Highway', 'Massachusetts Turnpike', 'Memorial Drive', 'Mid-Cape Highway', 'Mohawk Trail', 'Mystic Valley Parkway', 'Northeast Expressway', 'Northwest Expressway', 'Pilgrims Highway', 'Southeast Expressway', 'Southern Artery', 'Taunton-New Bedford Expressway (Alfred M. Bessette Memorial Highway)', 'Ted Williams Highway', 'Wilbur Cross Highway', 'Worcester-Providence Turnpike', 'Yankee Division Highway (Circumferential Highway)']","Alewife Brook Parkway, American Legion Highway, Amvets Memorial Highway (Fall River Expressway), Boston Post Road, Henry E. Bodurtha Highway, Boston",0
134,latex,1,,2134,Multi-Item Lookup,Easy,sqa,what are all of the route names?,"['Alewife Brook Parkway', 'American Legion Highway', 'Amvets Memorial Highway (Fall River Expressway)', 'Boston Post Road', 'Henry E. Bodurtha Highway', 'Boston-Worcester Turnpike', 'Central Artery (John F. Fitzgerald Expressway)', 'Commonwealth Avenue', 'East Boston Expressway', 'Grand Army of the Republic Highway', 'Horseneck Beach Connector', 'Loop Connector', 'Lydia Taft Highway', 'Massachusetts Turnpike', 'Memorial Drive', 'Mid-Cape Highway', 'Mohawk Trail', 'Mystic Valley Parkway', 'Northeast Expressway', 'Northwest Expressway', 'Pilgrims Highway', 'Southeast Expressway', 'Southern Artery', 'Taunton-New Bedford Expressway (Alfred M. Bessette Memorial Highway)', 'Ted Williams Highway', 'Wilbur Cross Highway', 'Worcester-Providence Turnpike', 'Yankee Division Highway (Circumferential Highway)']","Alewife Brook Parkway, American Legion Highway, Amvets Memorial Highway (Fall River Expressway), Boston Post Road, Henry E. Bodurtha Highway, Boston",0
134,markdown,1,,2531,Multi-Item Lookup,Easy,sqa,what are all of the route names?,"['Alewife Brook Parkway', 'American Legion Highway', 'Amvets Memorial Highway (Fall River Expressway)', 'Boston Post Road', 'Henry E. Bodurtha Highway', 'Boston-Worcester Turnpike', 'Central Artery (John F. Fitzgerald Expressway)', 'Commonwealth Avenue', 'East Boston Expressway', 'Grand Army of the Republic Highway', 'Horseneck Beach Connector', 'Loop Connector', 'Lydia Taft Highway', 'Massachusetts Turnpike', 'Memorial Drive', 'Mid-Cape Highway', 'Mohawk Trail', 'Mystic Valley Parkway', 'Northeast Expressway', 'Northwest Expressway', 'Pilgrims Highway', 'Southeast Expressway', 'Southern Artery', 'Taunton-New Bedford Expressway (Alfred M. Bessette Memorial Highway)', 'Ted Williams Highway', 'Wilbur Cross Highway', 'Worcester-Providence Turnpike', 'Yankee Division Highway (Circumferential Highway)']","Alewife Brook Parkway
American Legion Highway
Amvets Memorial Highway (Fall River Expressway)
Boston Post Road
Henry E. Bodurtha Highway",0
135,html,1,,1400,Multi-Item Lookup,Easy,sqa,what are the names of the players in the 2007-08 washington huskies men's basketball team?,"['Joel Smith', 'Venoy Overton', 'Tim Morris', 'Justin Dentmon', 'Matthew Bryan-Amaning', 'Ryan Appleby', 'Artem Wallace', 'Justin Holiday', 'Quincy Pondexter', 'Joe Wolfinger', 'Jon Brockman', 'Darnell Gant']","Joel Smith, Venoy Overton, Tim Morris, Justin Dentmon, Matthew Bryan-Amaning, Ryan Appleby, Artem Wallace, Justin Holiday, Quincy",0
135,latex,1,,633,Multi-Item Lookup,Easy,sqa,what are the names of the players in the 2007-08 washington huskies men's basketball team?,"['Joel Smith', 'Venoy Overton', 'Tim Morris', 'Justin Dentmon', 'Matthew Bryan-Amaning', 'Ryan Appleby', 'Artem Wallace', 'Justin Holiday', 'Quincy Pondexter', 'Joe Wolfinger', 'Jon Brockman', 'Darnell Gant']","Joel Smith, Venoy Overton, Tim Morris, Justin Dentmon, Matthew Bryan-Amaning, Ryan Appleby, Artem Wallace, Justin Holiday, Quincy",0
135,markdown,1,,680,Multi-Item Lookup,Easy,sqa,what are the names of the players in the 2007-08 washington huskies men's basketball team?,"['Joel Smith', 'Venoy Overton', 'Tim Morris', 'Justin Dentmon', 'Matthew Bryan-Amaning', 'Ryan Appleby', 'Artem Wallace', 'Justin Holiday', 'Quincy Pondexter', 'Joe Wolfinger', 'Jon Brockman', 'Darnell Gant']","Joel Smith, Venoy Overton, Tim Morris, Justin Dentmon, Matthew Bryan-Amaning, Ryan Appleby, Artem Wallace, Justin Holiday, Quincy",0
136,html,1,,1774,Multi-Item Lookup,Easy,sqa,"of those people, who are from the kitchener rangers club team?","['Rob Sangster', 'Rick Allain']","Rob Sangster, Rick Allain",0
136,latex,1,,708,Multi-Item Lookup,Easy,sqa,"of those people, who are from the kitchener rangers club team?","['Rob Sangster', 'Rick Allain']","Rob Sangster, Rick Allain",0
136,markdown,1,,783,Multi-Item Lookup,Easy,sqa,"of those people, who are from the kitchener rangers club team?","['Rob Sangster', 'Rick Allain']","Phil Huber, Rick Allain",0
137,html,1,,1270,Multi-Item Lookup,Easy,wikitq,nameeach of the formats in the table.,"['Telenovela', 'Serie', 'Short Film', 'Feature Film', 'Capsulas']","Telenovela, Serie, Short Film, Feature Film, Capsulas",0
137,latex,1,,631,Multi-Item Lookup,Easy,wikitq,nameeach of the formats in the table.,"['Telenovela', 'Serie', 'Short Film', 'Feature Film', 'Capsulas']","Telenovela, Serie, Short Film, Feature Film, Capsulas",0
137,markdown,1,,678,Multi-Item Lookup,Easy,wikitq,nameeach of the formats in the table.,"['Telenovela', 'Serie', 'Short Film', 'Feature Film', 'Capsulas']","Telenovela, Serie, Short Film, Feature Film, Capsulas",0
138,html,1,,699,Multi-Item Lookup,Easy,wikitq,who is listed in this table before germany?,['Italy (ITA)'],Italy (ITA),0
138,latex,1,,330,Multi-Item Lookup,Easy,wikitq,who is listed in this table before germany?,['Italy (ITA)'],Italy (ITA),0
138,markdown,1,,283,Multi-Item Lookup,Easy,wikitq,who is listed in this table before germany?,['Italy (ITA)'],Italy (ITA),0
